timestamp,Temp,CPU,Memo
2021-05-19T08:04:38.271Z,62.6,26.6,25
2021-05-19T08:14:39.002Z,62.5,27,25
2021-05-19T08:24:39.801Z,62.4,26.8,25
2021-05-19T08:34:40.608Z,62.3,26.8,25
2021-05-19T08:44:41.496Z,62.5,26.7,25
2021-05-19T08:54:42.300Z,63,26.8,25
2021-05-19T09:04:43.115Z,62.9,26.7,25
2021-05-19T09:14:43.921Z,62.9,26.6,25
2021-05-19T09:24:44.803Z,62.7,26.6,25
2021-05-19T09:34:45.604Z,63.1,26.8,25
2021-05-19T09:44:46.375Z,63,27,25
2021-05-19T09:54:46.998Z,62.9,26.7,25
2021-05-19T10:04:47.727Z,62.9,26.7,25
2021-05-19T10:14:48.413Z,63.1,26.8,25
2021-05-19T10:33:39.782Z,63.1,26.6,25
2021-05-19T10:43:40.580Z,62.9,26.8,25
2021-05-19T10:53:41.384Z,62.9,26.8,25
2021-05-19T11:03:42.127Z,63.1,26.6,25
2021-05-19T11:13:42.949Z,62.9,26.7,25
2021-05-19T11:23:43.788Z,63.1,26.8,25
2021-05-19T11:33:44.671Z,63.2,26.7,25
2021-05-19T11:43:45.472Z,62.9,26.8,25
2021-05-19T11:53:46.353Z,63.1,26.6,25
2021-05-19T12:03:47.152Z,63.3,26.8,25
2021-05-19T12:13:47.789Z,63.9,26.7,25
2021-05-19T12:23:48.588Z,64.3,26.7,25
2021-05-19T12:33:49.307Z,64.4,26.7,25
2021-05-19T12:43:49.863Z,64.3,26.8,25
2021-05-19T12:53:50.426Z,64.1,26.8,25
2021-05-19T13:03:50.985Z,64.3,26.9,25
2021-05-19T13:13:51.626Z,64.5,26.8,25
2021-05-19T13:23:52.426Z,64.4,26.8,25
2021-05-19T13:33:53.149Z,64.4,26.6,25
2021-05-19T13:43:53.953Z,64.4,26.6,24.9
2021-05-19T13:53:54.591Z,64.5,26.8,24.8
2021-05-19T14:03:55.446Z,64.6,26.7,24.8
2021-05-19T14:13:56.191Z,64.6,26.8,24.8
2021-05-19T14:23:56.908Z,64.6,26.9,24.7
2021-05-19T14:33:57.638Z,64.4,26.8,24.8
2021-05-19T14:43:58.348Z,64.5,26.8,24.8
2021-05-19T14:53:58.905Z,64.6,26.7,24.8
2021-05-19T15:03:59.505Z,64.6,26.8,24.6
2021-05-19T15:14:00.133Z,64.6,26.8,24.8
2021-05-19T15:24:00.718Z,64.6,26.8,24.8
2021-05-19T18:45:45.438Z,63.6,26.8,24
2021-05-19T18:55:45.782Z,64,26.8,24
2021-05-20T07:41:07.046Z,,26.7
2021-05-20T07:41:16.359Z,62.5,,23
2021-05-20T08:01:14.423Z,62.4,26.6,23
2021-05-20T08:11:15.194Z,62.5,26.8,23
2021-05-20T08:21:15.944Z,62.6,27,23
2021-05-20T08:31:16.775Z,63.2,27,23
